Mes;Fecha;Viajeros
200801;01/01/2008;1254400
200802;01/02/2008;1321600
200803;01/03/2008;1478400
200804;01/04/2008;1444800
200805;01/05/2008;1355200
200806;01/06/2008;1512000
200807;01/07/2008;1657600
200808;01/08/2008;1657600
200809;01/09/2008;1523200
200810;01/10/2008;1332800
200811;01/11/2008;1164800
200812;01/12/2008;1321600
200901;01/01/2009;1288000
200902;01/02/2009;1411200
200903;01/03/2009;1579200
200904;01/04/2009;1512000
200905;01/05/2009;1400000
200906;01/06/2009;1668800
200907;01/07/2009;1904000
200908;01/08/2009;1904000
200909;01/09/2009;1769600
200910;01/10/2009;1489600
200911;01/11/2009;1276800
200912;01/12/2009;1568000
201001;01/01/2010;1624000
201002;01/02/2010;1680000
201003;01/03/2010;1993600
201004;01/04/2010;1825600
201005;01/05/2010;1926400
201006;01/06/2010;1993600
201007;01/07/2010;2228800
201008;01/08/2010;2228800
201009;01/09/2010;2060800
201010;01/10/2010;1814400
201011;01/11/2010;1635200
201012;01/12/2010;1859200
201101;01/01/2011;1915200
201102;01/02/2011;2016000
201103;01/03/2011;2161600
201104;01/04/2011;2027200
201105;01/05/2011;2049600
201106;01/06/2011;2441600
201107;01/07/2011;2576000
201108;01/08/2011;2710400
201109;01/09/2011;2340800
201110;01/10/2011;2139200
201111;01/11/2011;1926400
201112;01/12/2011;2172800
201201;01/01/2012;2195200
201202;01/02/2012;2195200
201203;01/03/2012;2643200
201204;01/04/2012;2632000
201205;01/05/2012;2564800
201206;01/06/2012;2721600
201207;01/07/2012;2956800
201208;01/08/2012;3046400
201209;01/09/2012;2654400
201210;01/10/2012;2363200
201211;01/11/2012;2016000
201212;01/12/2012;2251200
201301;01/01/2013;2284800
201302;01/02/2013;2105600
201303;01/03/2013;2632000
201304;01/04/2013;2542400
201305;01/05/2013;2620800
201306;01/06/2013;2956800
201307;01/07/2013;3382400
201308;01/08/2013;3281600
201309;01/09/2013;2900800
201310;01/10/2013;2564800
201311;01/11/2013;2273600
201312;01/12/2013;2564800
201401;01/01/2014;2710400
201402;01/02/2014;2609600
201403;01/03/2014;2990400
201404;01/04/2014;3012800
201405;01/05/2014;3024000
201406;01/06/2014;3528000
201407;01/07/2014;4076800
201408;01/08/2014;3886400
201409;01/09/2014;3494400
201410;01/10/2014;3068800
201411;01/11/2014;2654400
201412;01/12/2014;3113600
201501;01/01/2015;3180800
201502;01/02/2015;3102400
201503;01/03/2015;3550400
201504;01/04/2015;3505600
201505;01/05/2015;3561600
201506;01/06/2015;4188800
201507;01/07/2015;4625600
201508;01/08/2015;4536000
201509;01/09/2015;3976000
201510;01/10/2015;3427200
201511;01/11/2015;3035200
201512;01/12/2015;3427200
201601;01/01/2016;3528000
201602;01/02/2016;3371200
201603;01/03/2016;3987200
201604;01/04/2016;3897600
201605;01/05/2016;3976000
201606;01/06/2016;4726400
201607;01/07/2016;5208000
201608;01/08/2016;5230400
201609;01/09/2016;4524800
201610;01/10/2016;3886400
201611;01/11/2016;3416000
201612;01/12/2016;3763200
201701;01/01/2017;3808000
201702;01/02/2017;3561600
201703;01/03/2017;4054400
201704;01/04/2017;3897600
201705;01/05/2017;4065600
201706;01/06/2017;4872000
201707;01/07/2017;5499200
201708;01/08/2017;5656000
201709;01/09/2017;4524800
201710;01/10/2017;4020800
201711;01/11/2017;3472000
201712;01/12/2017;3774400
